Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Antonius Cleveland  ,    DAL  ,26,    6-5  ,195,    S.E. Missouri  ,    USA  ,      ,0,      ,2,2,0.5,0,-29.5,9.1,0,22.7,40,0,0.0
BJ Johnson  ,    ORL  ,24,    6-7  ,200,    La Salle  ,    USA  ,      ,0,      ,1,3,2,0,95.8,0,33.3,22.2,75,0,0.0
Brad Wanamaker  ,    BOS  ,30,    6-3  ,210,    Pittsburgh  ,    USA  ,      ,0,      ,17,4.9,2,1.8,1.7,0.7,10.5,13.3,62.6,17,0.0
Bruno Caboclo  ,    HOU  ,24,    6-9  ,218,    None  ,    Brazil  ,2014,1,20,2,1,1.5,0,27.1,0,33.3,11.1,50,0,0.0
Chris Clemons  ,    HOU  ,22,    5-9  ,180,    Campbell University  ,    USA  ,      ,0,      ,2,3.5,1,0,47.4,0,12.5,25,59.5,0,0.0
D.J. Augustin  ,    ORL  ,32,    5-11  ,183,    Texas  ,    USA  ,2008,1,9,5,13.2,2,6,-9.7,0,8.1,22.3,58.8,38,0.0
Darius Bazley  ,    OKC  ,20,    6-8  ,208,    None  ,    USA  ,2019,1,23,7,6.6,6.7,0.9,0,1.4,28.8,14.2,65,7.7,0.0
DeMarre Carroll  ,    HOU  ,33,    6-6  ,215,    Missouri  ,    USA  ,2009,1,27,2,1,1.5,0.5,23.1,0,33.3,14.3,50,25,0.0
Deonte Burton  ,    OKC  ,26,    6-4  ,240,    Iowa State  ,    USA  ,      ,0,      ,1,0,0,0,30,0,0,0,0,0,0.0
Dion Waiters  ,    LAL  ,28,    6-3  ,210,    Syracuse  ,    USA  ,2012,1,4,5,2,0.4,0.4,-7.8,0,5.4,15.6,38.8,7.4,0.0
Donta Hall  ,    BKN  ,22,    6-9  ,229,    Alabama  ,    USA  ,      ,0,      ,3,2.3,1.7,0,-44.2,13,11.1,15.4,51.8,0,0.0
Dzanan Musa  ,    BKN  ,21,    6-9  ,217,    None  ,    Bosnia and Herzegovina  ,2018,1,29,3,4.7,1,1.3,-36.9,1.9,5.6,18.4,40.8,15.4,0.0
Emmanuel Mudiay  ,    UTA  ,24,    6-3  ,200,    None  ,    Democratic Republic of the Congo  ,2015,1,7,3,4.3,2,0.7,-4.5,2.3,12.5,18.6,43.7,9.1,0.0
Eric Bledsoe  ,    MIL  ,30,    6-1  ,214,    Kentucky  ,    USA  ,2010,1,18,9,11.7,4.6,5.9,4,1.7,13.1,20.6,48,28.6,0.0
Frank Mason III  ,    MIL  ,26,    5-11  ,190,    Kansas  ,    USA  ,2017,2,34,2,0,0,0.5,140,0,0,0,0,33.3,0.0
Gary Clark  ,    ORL  ,25,    6-6  ,225,    Cincinnati  ,    USA  ,      ,0,      ,5,7.4,5.6,1.4,-11.7,2.5,15.8,10.6,52.6,7.8,0.0
Hamidou Diallo  ,    OKC  ,21,    6-5  ,202,    Kentucky  ,    USA  ,2018,2,45,3,4.3,2,0.3,-43.4,6.1,14.8,25.8,46.2,9.1,0.0
J.J. Barea  ,    DAL  ,36,    5-10  ,180,    Northeastern  ,    Puerto Rico  ,      ,0,      ,1,3,0,0,-83.3,0,0,23.1,64.7,0,0.0
JR Smith  ,    LAL  ,34,    6-6  ,220,    None  ,    USA  ,2004,1,18,10,2,0.3,0.3,-17.7,0,3.9,18.4,38.5,6.3,0.0
JaKarr Sampson  ,    IND  ,27,    6-7  ,214,    St. John's (NY)  ,    USA  ,      ,0,      ,4,5,3.3,1,-1.9,2.3,25,16.8,62.5,12.5,0.0
James Ennis III  ,    ORL  ,29,    6-6  ,215,    Cal State-Long Beach  ,    USA  ,2013,2,50,5,7,5.8,1.2,-16.1,4.4,18.4,15.8,44.9,7.1,0.0
Jaylen Adams  ,    POR  ,24,    6-0  ,225,    St. Bonaventure  ,    USA  ,      ,0,      ,3,2,1,0.7,52.4,5.3,10,17,33.3,9.5,0.0
Jaylen Hoard  ,    POR  ,21,    6-8  ,216,    Wake Forest  ,    France  ,      ,0,      ,3,4.7,3,0.3,13.6,10.9,10,12.7,58.3,3,0.0
Jerami Grant  ,    DEN  ,26,    6-8  ,210,    Syracuse  ,    USA  ,2014,2,39,19,11.6,3.3,1.3,-5.5,1.3,8.7,15.7,55.6,5.6,0.0
Jeremiah Martin  ,    BKN  ,24,    6-2  ,185,    Memphis  ,    USA  ,      ,0,      ,3,4,1,1.3,-30.1,0,11.1,23.5,41.6,26.7,0.0
Joakim Noah  ,    LAC  ,35,    6-11  ,232,    Florida  ,    USA  ,2007,1,9,2,0,0,0,66.7,0,0,0,0,0,0.0
Josh Reaves  ,    DAL  ,23,    6-4  ,214,    Penn State  ,    USA  ,      ,0,      ,2,2,1,0.5,-29.5,0,28.6,22.7,51.5,20,0.0
Justin Anderson  ,    BKN  ,26,    6-5  ,231,    Virginia  ,    USA  ,2015,1,21,3,6.3,2.7,1,-30.9,0,25.8,22.5,69,25,0.0
Keita Bates-Diop  ,    DEN  ,24,    6-8  ,229,    Ohio State  ,    USA  ,2018,2,48,5,0.6,1.2,0.2,2,10.7,12.5,9.8,25.5,6.7,0.0
Kelly Olynyk  ,    MIA  ,29,    6-11  ,240,    Gonzaga  ,    Canada  ,2013,1,13,17,7.6,4.6,1.1,10.6,5.4,21.9,20.5,60.6,11.8,0.0
Kyle Korver  ,    MIL  ,39,    6-7  ,212,    Creighton  ,    USA  ,2003,2,51,10,6.2,0.8,0.1,4.6,0.8,5.7,17.8,61.9,1.2,0.0
Kyle O'Quinn  ,    PHI  ,30,    6-9  ,250,    Norfolk State  ,    USA  ,2012,2,49,1,0,1,1,-7.7,0,25,14.3,0,50,0.0
Lance Thomas  ,    BKN  ,32,    6-8  ,225,    Duke  ,    USA  ,      ,0,      ,3,1.3,1,0,-32.4,4.5,13.3,15.2,29.6,0,0.0
Malcolm Miller  ,    TOR  ,27,    6-7  ,210,    Holy Cross  ,    USA  ,      ,0,      ,1,3,0,0,-28,0,0,25,50,0,0.0
Mario Hezonja  ,    POR  ,25,    6-8  ,220,    None  ,    Croatia  ,2015,1,5,5,4.6,3.2,1.2,-6.1,2.8,19.7,15.5,48.4,13.6,0.0
Marvin Williams  ,    MIL  ,34,    6-8  ,237,    North Carolina  ,    USA  ,2005,1,2,10,5.5,4.8,0.9,6.8,7.1,18.8,12,56.9,7,0.0
Michael Frazier II  ,    HOU  ,26,    6-3  ,200,    Florida  ,    USA  ,      ,0,      ,4,0.8,1,0.5,32.1,6.7,15.8,16.1,37.5,25,0.0
Michael Kidd-Gilchrist  ,    DAL  ,26,    6-6  ,232,    Kentucky  ,    USA  ,2012,1,2,6,2.3,1,0.5,-14.3,4,7.8,14,42.1,7,0.0
Nigel Williams-Goss  ,    UTA  ,25,    6-2  ,190,    Gonzaga  ,    USA  ,2017,2,55,1,0,0,1,-100,0,0,0,0,100,0.0
Noah Vonleh  ,    DEN  ,24,    6-10  ,257,    Indiana  ,    USA  ,2014,1,9,1,0,0,0,-33.3,0,0,11.1,0,0,0.0
Norvel Pelle  ,    PHI  ,27,    6-10  ,231,    Iona  ,    Antigua and Barbuda  ,      ,0,      ,1,0,0,0,-26.7,0,0,0,0,0,0.0
Patrick Patterson  ,    LAC  ,31,    6-8  ,235,    Kentucky  ,    USA  ,2010,1,14,2,4.5,0.5,2,45.5,0,8.3,13,150,44.4,0.0
Paul Watson  ,    TOR  ,25,    6-6  ,210,    Fresno State  ,    USA  ,      ,0,      ,2,1,0,0.5,-13.7,0,0,9.5,50,11.1,0.0
Quinn Cook  ,    LAL  ,27,    6-1  ,180,    Duke  ,    USA  ,      ,0,      ,6,2.2,0.2,0.8,-67.5,0,5,19.6,62.3,50,0.0
Rodions Kurucs  ,    BKN  ,22,    6-9  ,228,    None  ,    Latvia  ,2018,2,40,4,5.5,3.3,0.8,-45.1,4.3,15.6,16.6,52.7,9.4,0.0
Rodney McGruder  ,    LAC  ,28,    6-4  ,205,    Kansas State  ,    USA  ,      ,0,      ,5,1.6,0.8,0.4,31.9,10,16.7,13.9,80,15.4,0.0
Stanley Johnson  ,    TOR  ,24,    6-6  ,242,    Arizona  ,    USA  ,2015,1,8,3,4.3,1.3,2,-11.1,4.2,13.6,23.1,56.8,46.2,0.0
Terrance Ferguson  ,    OKC  ,22,    6-6  ,190,    None  ,    USA  ,2017,1,21,4,1.5,1,0.3,-20.4,1.8,6.1,12,27.3,3.7,0.0
Troy Daniels  ,    DEN  ,28,    6-4  ,200,    Virginia Commonwealth  ,    USA  ,      ,0,      ,6,2.7,0.5,0.3,22.1,3,6.3,16.7,62.1,10.5,0.0
Tyler Cook  ,    DEN  ,22,    6-8  ,255,    Iowa  ,    USA  ,      ,0,      ,1,0,2,0,100,0,20,0,0,0,0.0
Tyson Chandler  ,    HOU  ,37,    7-0  ,235,    None  ,    USA  ,2001,1,2,1,0,0,0,0,0,0,0,0,0,0.0
Vic Law  ,    ORL  ,24,    6-7  ,201,    Northwestern  ,    USA  ,      ,0,      ,1,3,2,1,95.8,0,33.3,11.1,150,33.3,0.0
Vincent Poirier  ,    BOS  ,26,    7-0  ,235,    None  ,    France  ,      ,0,      ,1,0,0,1,0,0,0,0,0,100,0.0
Wes Iwundu  ,    ORL  ,25,    6-6  ,195,    Kansas State  ,    USA  ,2017,2,33,5,4.2,2.2,0.8,2.4,1.3,12.3,14.3,44.6,8.7,0.0
==================================================================================================================================================================,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Al-Farouq Aminu  ,    POR  ,28,    6-9  ,220,    Wake Forest  ,    USA  ,2010,1,8,16,7.4,6.3,1.3,-1.9,6.7,17.5,14.7,47.3,7.5,0.0
Amir Johnson  ,    PHI  ,32,    6-9  ,240,    None  ,    USA  ,2005,2,56,4,2,1.3,0.5,-45.9,15,11.1,10.4,100,20,0.0
Andrew Bogut  ,    GSW  ,34,    7-0  ,260,    Utah  ,    Australia  ,2005,1,1,19,2.7,3.9,1.1,-1.2,12.8,28.7,11.6,66.3,16.3,0.0
Aron Baynes  ,    BOS  ,32,    6-10  ,260,    Washington State  ,    Australia  ,      ,0,      ,9,2.1,2.8,0.3,-13.6,4.9,14.6,7.6,63.8,3.9,0.0
Cory Joseph  ,    IND  ,27,    6-3  ,193,    Texas  ,    Canada  ,2011,1,29,4,7.5,1.8,1,-14.9,1,7.2,13.5,60.3,9.8,0.0
D.J. Wilson  ,    MIL  ,23,    6-10  ,231,    Michigan  ,    USA  ,2017,1,17,8,2.4,1.3,0.5,-21.9,2.2,23.1,22.6,56.3,18.2,0.0
Dante Cunningham  ,    SAS  ,32,    6-8  ,230,    Villanova  ,    USA  ,2009,2,33,5,1.2,1.2,0,22.4,13.3,33.3,10,100,0,0.0
Darren Collison  ,    IND  ,31,    6-0  ,175,    UCLA  ,    USA  ,2009,1,21,4,12,3,4,-3.3,3.1,7,22,50.4,23.2,0.0
Donatas Motiejunas  ,    SAS  ,28,    7-0  ,220,    None  ,    Lithuania  ,2011,1,20,5,2.6,1.4,0.4,0.2,15.8,23.5,26.8,59.7,28.6,0.0
Ed Davis  ,    BKN  ,30,    6-10  ,225,    North Carolina  ,    USA  ,2010,1,13,3,5.3,6.3,0.7,26.5,9.5,26.3,11.3,73.5,6.1,0.0
Ekpe Udoh  ,    UTA  ,32,    6-10  ,245,    Baylor  ,    USA  ,2010,1,6,2,0,0,0,-54.8,0,0,5.9,0,0,0.0
Eric Moreland  ,    TOR  ,27,    6-10  ,238,    Oregon State  ,    USA  ,      ,0,      ,8,0.3,1.8,0.4,-40,5.3,31.6,2.9,50,25,0.0
Evan Turner  ,    POR  ,30,    6-7  ,220,    Ohio State  ,    USA  ,2010,1,2,16,2.7,4.5,2.2,0.3,5,21.3,11.8,40.9,20.3,0.0
Gerald Green  ,    HOU  ,33,    6-7  ,205,    None  ,    USA  ,2005,1,18,11,3.5,1.1,0.1,-3.9,0,12.1,19.3,46.2,1.8,0.0
Glenn Robinson III  ,    DET  ,25,    6-6  ,222,    Michigan  ,    USA  ,2014,2,40,3,4.3,2.3,0.7,-36.6,3.6,13.9,20,38.8,10.5,0.0
Guerschon Yabusele  ,    BOS  ,23,    6-8  ,260,    None  ,    France  ,2016,1,16,4,2,0.5,0.3,5.8,6.3,6.3,21.6,56.5,12.5,0.0
Iman Shumpert  ,    HOU  ,29,    6-5  ,215,    Georgia Tech  ,    USA  ,2011,1,17,8,3.6,1.5,0.3,5.8,0.9,8.9,11.6,52.2,2.4,0.0
JJ Redick  ,    PHI  ,35,    6-4  ,200,    Duke  ,    USA  ,2006,1,11,12,13.4,1.5,1.6,5.3,0.5,3.8,16.8,60.6,7.4,0.0
Jacob Evans  ,    GSW  ,22,    6-6  ,210,    Cincinnati  ,    USA  ,2018,1,28,7,0.7,0.1,0.1,10.1,0,3.4,17.5,50,9.1,0.0
Jake Layman  ,    POR  ,25,    6-9  ,215,    Maryland  ,    USA  ,2016,2,47,6,0.8,0.7,0,-35,3.3,15.8,18.4,28.5,0,0.0
Jakob Poeltl  ,    SAS  ,23,    7-0  ,230,    Utah  ,    Austria  ,2016,1,9,7,7.3,7.7,1.7,5.2,14.5,15.8,11,63.8,9.2,0.0
Jarell Martin  ,    ORL  ,25,    6-10  ,239,    Louisiana State  ,    USA  ,2015,1,25,3,3.3,0.7,0.3,42.4,3.6,4.2,21.7,50.6,10,0.0
Jeremy Lin  ,    TOR  ,30,    6-3  ,200,    Harvard  ,    USA  ,      ,0,      ,8,1.1,0.4,0.5,-38.5,0,7.7,23.5,41.8,40,0.0
Jerian Grant  ,    ORL  ,26,    6-4  ,205,    Notre Dame  ,    USA  ,2015,1,19,3,1.7,1.3,1,53.4,0,19,28.9,23.9,30,0.0
Jerome Robinson  ,    LAC  ,22,    6-5  ,190,    Boston College  ,    USA  ,2018,1,13,5,3.6,1.2,1.4,4.3,3.4,11.4,14.2,55.6,18.4,0.0
Jodie Meeks  ,    TOR  ,31,    6-4  ,210,    Kentucky  ,    USA  ,2009,2,41,14,1.6,0.6,0.1,-12.1,0,10.1,20.2,36.3,2.7,0.0
Jon Leuer  ,    DET  ,30,    6-10  ,228,    Wisconsin  ,    USA  ,2011,2,40,1,2,0,0,21.8,0,0,18.2,41,0,0.0
Jonah Bolden  ,    PHI  ,23,    6-10  ,220,    UCLA  ,    Australia  ,2017,2,36,10,1.6,1.4,0.3,-17,4.3,12.8,14.7,38.5,5.8,0.0
Jonas Jerebko  ,    GSW  ,32,    6-10  ,231,    None  ,    Sweden  ,2009,2,39,16,2.1,2.1,0.8,-6.9,12.1,15.4,16.5,38.1,15.6,0.0
Jonathon Simmons  ,    PHI  ,29,    6-6  ,195,    Houston  ,    USA  ,2012,0,0,7,3.6,1.3,0.3,-46.6,2.9,13.5,27,39.4,6.7,0.0
Jordan Bell  ,    GSW  ,24,    6-9  ,224,    Oregon  ,    USA  ,2017,2,38,15,2.7,1.3,0.7,-5.9,7.4,11,15.3,57.9,15.5,0.0
Jose Calderon  ,    DET  ,37,    6-3  ,200,    None  ,    Spain  ,      ,0,      ,3,0,0,1.7,19.3,0,0,0,0,50,0.0
Kenneth Faried  ,    HOU  ,29,    6-8  ,220,    Morehead State  ,    USA  ,2011,1,22,6,4,3.5,0.3,13.8,4.6,28.1,11.9,76.7,7.7,0.0
Khyri Thomas  ,    DET  ,23,    6-3  ,210,    Creighton  ,    USA  ,2018,2,38,3,4.7,0.7,0,25.8,0,20,37.5,56.3,0,0.0
LaMarcus Aldridge  ,    SAS  ,33,    6-11  ,260,    Texas  ,    USA  ,2006,1,2,7,20,9.6,2.7,-2,7.6,18.5,26.7,51.7,13.8,0.0
Marco Belinelli  ,    SAS  ,33,    6-5  ,210,    None  ,    Italy  ,2007,1,18,7,5.9,1.9,1.1,3,0,9.1,13.7,50.4,7.9,0.0
Maurice Harkless  ,    POR  ,26,    6-9  ,220,    St. John's, N.Y.  ,    USA  ,2012,1,15,16,8.4,4.9,1.4,-2.7,6.8,13.2,15.2,53.7,8.6
Melvin Frazier Jr.  ,    ORL  ,22,    6-6  ,200,    Tulane  ,    USA  ,2018,2,35,3,1.7,1.3,0,51.9,4.2,13,15.4,42.5,0,0.0
Michael Carter-Williams  ,    ORL  ,27,    6-6  ,190,    Syracuse  ,    USA  ,2013,1,11,5,6.6,4,2.4,-9.3,1.8,19.4,18.8,47.8,24.5,0.0
Nene  ,    HOU  ,36,    6-11  ,250,    None  ,    Brazil  ,2002,1,7,7,3.9,2,0.4,13.4,17.6,12.2,13.5,96.7,8.3,0.0
Nikola Mirotic  ,    MIL  ,28,    6-10  ,250,    None  ,    Montenegro  ,2011,1,23,14,9.5,4.3,0.7,2.7,5,13.8,19.5,51.4,5,0.0
Patrick McCaw  ,    TOR  ,23,    6-7  ,185,    UNLV  ,    USA  ,2016,2,38,11,0.5,0.3,0.4,-17.9,3.7,1.8,5.8,42.5,12.9,0.0
Quincy Pondexter  ,    SAS  ,31,    6-7  ,230,    Washington  ,    USA  ,2010,1,26,5,0,0.2,0.4,19.6,0,12.5,6.9,0,22.2,0.0
Raymond Felton  ,    OKC  ,35,    6-1  ,205,    North Carolina  ,    USA  ,2005,1,5,5,2.2,0.6,0.6,12.9,0,5.3,11.8,39.6,9.1,0.0
Rodney Hood  ,    POR  ,26,    6-8  ,206,    Duke  ,    USA  ,2014,1,23,16,9.9,2.3,0.9,-0.5,2.3,6.4,16,60.6,6,0.0
Rudy Gay  ,    SAS  ,32,    6-8  ,230,    Connecticut  ,    USA  ,2006,1,8,7,11.1,7.1,1.7,-7.9,7.3,19.4,22,50.3,10.8,0.0
Shabazz Napier  ,    BKN  ,27,    6-1  ,180,    Connecticut  ,    USA  ,2014,1,24,3,8,2.3,3.7,36.4,8,16.7,19.4,82.6,45.8,0.0
Shaun Livingston  ,    GSW  ,33,    6-7  ,192,    None  ,    USA  ,2004,1,4,22,4,1.4,1.4,-6,3.3,6.1,12.8,51.7,14.8,0.0
Sindarius Thornwell  ,    LAC  ,24,    6-5  ,215,    South Carolina  ,    USA  ,2017,2,48,4,1.3,1,0,27.6,0,28.6,17.6,41.7,0,0.0
Skal Labissiere  ,    POR  ,23,    6-11  ,235,    Kentucky  ,    Haiti  ,2016,1,28,3,0.7,0,0,-41.1,0,0,15.4,22.5,0,0.0
Terry Rozier  ,    BOS  ,25,    6-1  ,190,    Louisville  ,    USA  ,2015,1,16,9,6.4,4.3,1.9,3,2.3,17.2,20,43.9,19.1,0.0
Thabo Sefolosha  ,    UTA  ,35,    6-7  ,220,    None  ,    Switzerland  ,2006,1,13,4,1.3,2,0.5,-16,2,15.6,14.6,17.9,8.3,0.0
Theo Pinson  ,    BKN  ,23,    6-6  ,218,    North Carolina  ,    USA  ,      ,0,      ,3,3,1,1,37.6,0,12,15.3,56.3,14.3,0.0
Thon Maker  ,    DET  ,22,    7-1  ,221,    None  ,    South Sudan  ,2016,1,10,4,5.5,2.3,1,-24.3,4.9,6.8,20,36.7,8.9,0.0
Tim Frazier  ,    MIL  ,28,    6-1  ,170,    Penn State  ,    USA  ,      ,0,      ,11,1.9,0.8,0.9,-15.1,0,20.9,16.3,75.6,43.5,0.0
Treveon Graham  ,    BKN  ,25,    6-5  ,225,    Va Commonwealth  ,    USA  ,      ,0,      ,5,1.4,2,0.6,-0.6,2.4,10,8.1,27.7,4.2,0.0
Tyreke Evans  ,    IND  ,29,    6-6  ,220,    Memphis  ,    USA  ,2009,1,4,4,15.3,4.3,0.8,-12.8,0,20,31.6,56.3,8.3,0.0
Tyrone Wallace  ,    LAC  ,25,    6-5  ,198,    California  ,    USA  ,2016,2,60,2,2,0.5,1.5,42.6,0,10,18.8,37.6,27.3,0.0
Wayne Ellington  ,    DET  ,31,    6-5  ,200,    North Carolina  ,    USA  ,2009,1,28,4,7.8,3.8,1.3,-29,1.8,9.2,11.7,43.2,5.4,0.0
Wilson Chandler  ,    LAC  ,32,    6-9  ,225,    DePaul  ,    USA  ,2007,1,23,4,3.8,1.5,0.5,8.2,0,10.2,16.2,42.2,5,0.0
Zach Collins  ,    POR  ,21,    7-0  ,235,    Gonzaga  ,    USA  ,2017,1,10,16,6.8,3.6,0.9,-3.2,5.8,13.1,17.5,59.2,8.6,0.0
Zaza Pachulia  ,    DET  ,35,    6-11  ,270,    None  ,    Georgia  ,2003,2,42,2,2.5,4.5,0,2.1,4.2,32,15.7,36.3,0,0.0
Zhaire Smith  ,    PHI  ,20,    6-4  ,199,    Texas Tech  ,    USA  ,2018,1,16,2,0,0,0,93.3,0,0,0,0,0,0.0
Aaron Brooks  ,    MIN  ,33,    6-0  ,161,    Oregon  ,    USA  ,2007,1,26,2,2,0,0,9.5,0,0,50,51.5,0,0.0
Aaron Jackson  ,    HOU  ,32,    6-3  ,183,    Duquesne  ,    USA  ,      ,0,      ,7,0.7,0.6,0.3,-24.6,11.1,10.5,16.7,51.2,20,0.0
Alex Abrines  ,    OKC  ,24,    6-6  ,190,    None  ,    Spain  ,2013,2,32,6,4,2.7,0.3,12.9,2.9,10.6,8.7,57.5,2.4,0.0
Ante Zizic  ,    CLE  ,21,    6-11  ,250,    None  ,    Croatia  ,2016,1,23,8,1.6,0.8,0.1,25.4,3.6,18.5,27.3,51.4,7.1,0.0
Brandon Jennings  ,    MIL  ,28,    6-1  ,170,    None  ,    USA  ,2009,1,10,1,2,0,0,-12.5,0,0,44.4,34.7,0,0.0
Brandon Paul  ,    SAS  ,27,    6-4  ,200,    Illinois  ,    USA  ,      ,0,      ,1,0,1,1,54.8,0,33.3,0,0,25,0.0
CJ Miles  ,    TOR  ,31,    6-6  ,225,    None  ,    USA  ,2005,2,34,10,9.6,2.4,0.8,-8.4,2.6,8.3,16.4,61.5,5.6,0.0
Caleb Swanigan  ,    POR  ,21,    6-8  ,250,    Purdue  ,    USA  ,2017,1,26,1,3,2,1,57.9,0,25,26.3,39.9,11.1,0.0
Cheick Diallo  ,    NOP  ,21,    6-9  ,220,    Kansas  ,    Mali  ,2016,2,33,7,1.4,1.3,0,-25,8.2,9.4,11.5,41.7,0,0.0
Chinanu Onuaku  ,    HOU  ,21,    6-10  ,245,    Louisville  ,    USA  ,2016,2,37,1,0,1,1,-59.5,20,0,0,0,50,0.0
Corey Brewer  ,    OKC  ,32,    6-9  ,186,    Florida  ,    USA  ,2007,1,7,6,6.2,2.2,0.8,-12.8,2.6,6,8.3,66.9,4.7,0.0
Dakari Johnson  ,    OKC  ,22,    7-0  ,255,    Kentucky  ,    USA  ,2015,2,48,2,0,0,0,114.3,0,0,0,0,0,0.0
Darius Miller  ,    NOP  ,28,    6-8  ,225,    Kentucky  ,    USA  ,2012,2,46,9,4.8,2.2,1.2,0.5,1.3,10.5,10.9,58.7,8.6,0.0
David Stockton  ,    UTA  ,27,    5-11  ,165,    Gonzaga  ,    USA  ,2014,0,0,2,1,0.5,0,25,0,16.7,21.4,33.3,0,0.0
David West  ,    GSW  ,37,    6-9  ,250,    Xavier  ,    USA  ,2003,1,18,18,3.3,2.1,1.8,-1.3,6.8,14.6,13.9,63.1,26,0.0
DeAndre Liggins  ,    NOP  ,30,    6-6  ,209,    Kentucky  ,    USA  ,2011,2,53,3,0.3,0.3,0,-64.7,0,7.1,11.8,26.6,0,0.0
Dwyane Wade  ,    MIA  ,36,    6-4  ,220,    Marquette  ,    USA  ,2003,1,5,5,16.6,4.2,3.6,1.4,2.1,12.4,29.3,51,28.6,0.0
Emeka Okafor  ,    NOP  ,35,    6-10  ,255,    Connecticut  ,    USA  ,2004,1,2,1,0,0,0,-80,0,0,10,0,0,0.0
Ian Clark  ,    NOP  ,27,    6-3  ,175,    Belmont  ,    USA  ,      ,0,      ,9,7.8,1.1,1.2,-9.6,1,4,16.6,51.7,8.5,0.0
Ian Mahinmi  ,    WAS  ,31,    6-11  ,262,    None  ,    France  ,2005,1,28,6,5,1.8,0.2,3.6,7,13,15.6,79.6,3.2,0.0
Jamal Crawford  ,    MIN  ,38,    6-5  ,185,    Michigan  ,    USA  ,2000,1,8,5,11.8,2.6,2.4,-3.3,0.8,9.4,20.7,56,14.8,0.0
Jason Smith  ,    WAS  ,32,    7-0  ,240,    Colorado State  ,    USA  ,2007,1,20,1,0,0,0,-20,0,0,0,0,0,0.0
Jason Terry  ,    MIL  ,40,    6-2  ,185,    Arizona  ,    USA  ,1999,1,10,3,2,0.7,0.7,1.1,3.2,2.2,6,60,6.1,0.0
Jerryd Bayless  ,    PHI  ,29,    6-3  ,200,    Arizona  ,    USA  ,2008,1,11,1,0,0,0,50,0,0,0,0,0,0.0
Joe Johnson  ,    HOU  ,37,    6-7  ,240,    Arkansas  ,    USA  ,2001,1,10,8,1.5,1.3,0.4,-35.7,0,15.6,16.1,35.3,9.7,0.0
Joe Young  ,    IND  ,26,    6-2  ,185,    Oregon  ,    USA  ,2015,2,43,1,0,0,0,40,0,0,0,0,0,0.0
Joffrey Lauvergne  ,    SAS  ,26,    6-11  ,260,    None  ,    France  ,2013,2,55,1,2,1,0,31.4,0,12.5,7.7,100,0,0.0
John Henson  ,    MIL  ,27,    6-11  ,229,    North Carolina  ,    USA  ,2012,1,14,2,9.5,6,2.5,-0.7,7.1,9.3,11.5,68.4,9.1,0.0
John Wall  ,    WAS  ,27,    6-4  ,210,    Kentucky  ,    USA  ,2010,1,1,6,26,5.7,11.5,-0.9,1.4,14.2,32.5,52.8,49.6,0.0
Jordan Crawford  ,    NOP  ,29,    6-5  ,195,    Xavier  ,    USA  ,2010,1,27,2,9.5,2,0.5,-22.9,0,25,44.4,73.1,25,0.0
Josh Huestis  ,    OKC  ,26,    6-7  ,230,    Stanford  ,    USA  ,2014,1,29,4,0.8,0.8,0,-7.2,0,15,5.7,52.1,0,0.0
Lance Stephenson  ,    IND  ,27,    6-6  ,230,    Cincinnati  ,    USA  ,2010,2,40,7,10.4,2.7,2.9,-0.4,2.2,12.3,24.1,52.9,21.3,0.0
Lorenzo Brown  ,    TOR  ,27,    6-5  ,189,    North Carolina State  ,    USA  ,2013,2,52,4,2.3,1.5,0.5,-28.7,3.4,17.2,19.7,41.4,14.3,0.0
Luc Mbah a Moute  ,    HOU  ,31,    6-8  ,230,    UCLA  ,    Cameroon  ,2008,2,37,9,2.8,2.4,0.3,-21.5,1.8,12.9,12.5,32,3.1,0.0
Lucas Nogueira  ,    TOR  ,25,    7-0  ,220,    None  ,    Brazil  ,2013,1,16,5,0.2,0.2,0.2,-56,0,5.3,9.6,26.6,6.3,0.0
Luke Babbitt  ,    MIA  ,29,    6-9  ,225,    Nevada  ,    USA  ,2010,1,16,2,0,0,0,-85.7,0,0,14.3,0,0,0.0
Manu Ginobili  ,    SAS  ,40,    6-6  ,205,    None  ,    Argentina  ,1999,2,57,5,9,3,3.2,-2.8,0.8,13.7,19.3,53.8,24.2,0.0
Marcin Gortat  ,    WAS  ,34,    6-11  ,240,    None  ,    Poland  ,2005,2,57,6,8.7,6.3,1,0.4,8.9,18.2,14.4,56.4,5.2,0.0
Marcus Georges-Hunt  ,    MIN  ,24,    6-5  ,226,    Georgia Tech  ,    USA  ,      ,0,      ,2,0,0.5,0,-30.4,25,0,12.5,0,0,0.0
Matthew Dellavedova  ,    MIL  ,27,    6-4  ,198,    Saint Mary's  ,    Australia  ,      ,0,      ,6,2,0.8,2.7,-2.5,1.3,4.7,11,46.6,28.6,0.0
Nick Young  ,    GSW  ,33,    6-7  ,210,    Southern California  ,    USA  ,2007,1,16,20,2.6,0.6,0.2,2.7,0.4,4.9,11.3,46,2.8,0.0
Pau Gasol  ,    SAS  ,37,    7-0  ,250,    None  ,    Spain  ,2001,1,3,5,6,4.8,2.8,-12.4,2.2,25.6,15.4,61.5,24.1,0.0
